sõnu uudises,esimene isik,negatiivsus,kordaja,positiivsus,väljaanne,link
190,2,3,2.63,3,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/ametlik-trump-kiitis-heaks-pea-10-000-usa-soduri-valjaviimise-saksamaalt?id=90332771
132,2,1,2.27,1,Telegram,https://www.telegram.ee/eesti/riigikogu-vottis-menetlusse-kollektiivse-poordumise-kodanikupalga-kohta
14,0,0,0.0,0,Telegram,https://www.telegram.ee/eesti/eesti-taasiseseisvumine-kas-eestlaste-algatus-voi-voimukoridoride-loodud-stsenaarium
349,4,11,4.3,8,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/videod-valgevenelased-avaldavad-meelt-edasi-vaidetavalt-on-ka-tana-juba-opositisooni-toetajaid-vahistatud?id=90695743
338,0,10,2.96,5,Uued Uudised,https://uueduudised.ee/arvamus/lugeja-kirjutab/aafriklaste-suur-grillipidu-hirmutas-tallinlasi-ja-see-paneb-motlema-turvalisuse-kadumisele/
64,0,4,6.25,0,Delfi,https://www.delfi.ee/news/paevauudised/krimi/onnelik-onnetus-joobes-rattur-paases-kokkuporkest-rekaga-terve-nahaga?id=91780145
104,0,4,3.85,0,Telegram,https://www.telegram.ee/maailm/gruusia-parlamendisaadikud-laksid-otsesaates-kaklema
874,2,16,2.06,11,Delfi,https://www.delfi.ee/news/paevauudised/eesti/graafik-oopaevaga-lisandus-60-positiivset-koroonaviiruse-testi-viirus-tuvastati-ka-22-sloveenia-naisjalgpalluril?id=91461186
1118,2,25,2.42,32,Telegram,https://www.telegram.ee/nwo/cia-kasutas-doktor-zivagot-nsvl-i-oonestamiseks
186,0,1,0.54,4,Telegram,https://www.telegram.ee/maailm/suurbritannias-hakatakse-rakendama-internetiporno-filtrit
229,1,7,3.49,4,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/usa-sonul-on-hiina-pretensioonid-louna-hiina-merel-ebaseaduslikud?id=90443697
934,22,22,4.71,19,Uued Uudised,https://uueduudised.ee/arvamus/kivisildnik-vasakmeedia-reetis-oma-kultuuriholopid/
79,0,5,6.33,0,Delfi,https://www.delfi.ee/news/paevauudised/krimi/eile-parnumaal-liiklusonnetuses-vigastada-saanud-42-aastane-naine-suri?id=90529843
786,14,8,2.8,16,Telegram,https://www.telegram.ee/teadus-ja-tulevik/intelligentse-disaini-teooria-lukkab-umber-darwini-seisukohad
586,5,7,2.05,26,Telegram,https://www.telegram.ee/teadus-ja-tulevik/noored-teadlased-loodavad-iseseisvuda-tavainimeste-abiga
366,7,16,6.28,4,Uued Uudised,https://uueduudised.ee/uudis/maailm/uro-utleb-suudistavaid-sonu-eirates-maailma-terviseorganisatsiooni-rolli-koroonaviiruse-levimises/
132,0,3,2.27,3,Delfi,https://www.delfi.ee/news/paevauudised/usavalimised2020/oktoobriullatus-koroonadiagnoosi-naol-kas-haigestumine-mangib-presidendivalimistel-trumpi-kasuks-voi-mitte?id=91251835
1541,11,18,1.88,34,Telegram,https://www.telegram.ee/nwo/kubricku-filmi-silmad-parani-kinni-peidetud-sonumid-iii-osa
68,0,4,5.88,0,Delfi,https://www.delfi.ee/news/paevauudised/krimi/paev-liikluses-kumme-purjutajat-ning-kulili-mootorrattur?id=91052189
485,3,11,2.89,7,Uued Uudised,https://uueduudised.ee/majandus/rail-balticu-hetkeolukorrast-jatkuvalt-ohulossidest-prognoosid-ja-pingeline-sisevoitlus/
93,2,2,4.3,0,Delfi,https://www.delfi.ee/news/paevauudised/eesti/ule-poolesaja-inimese-on-kusinud-kaitset-robert-sarve-nouete-vastu?id=90914319
589,4,19,3.9,9,Uued Uudised,https://uueduudised.ee/uudis/maailm/uued-tuuled-prantsusmaa-poliitikas-president-macron-tunnistab-islamiseparatismi-olemasolu-ja-moslemite-tahtmatust-teistega-koos-elada/
347,5,22,7.78,8,Uued Uudised,https://uueduudised.ee/uudis/eesti/ekre-fraktsioon-tallinna-volikogus-paris-linnapealt-aru-kasimata-inimeste-kohta-uhistranspordis/
524,4,8,2.29,17,Uued Uudised,https://uueduudised.ee/uudis/eesti/uuring-suurem-osa-vastanuist-leidis-et-poolitikakajastus-meedias-pole-neutraalne/
192,2,7,4.69,7,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/belgia-prints-joachim-sai-valismaal-karantiininoudeid-eirates-peol-kaies-koroonaviiruse?id=90028655
214,2,10,5.61,8,Uued Uudised,https://uueduudised.ee/uudis/eesti/euroopa-komisjon-ja-sorose-fond-on-siiami-kaksikutena-labi-poimunud/
404,9,20,7.18,6,Uued Uudised,https://uueduudised.ee/uudis/eesti/siseminister-mart-helme-avaldas-lihula-tulistamisohvrite-lahedastele-kaastunnet/
240,5,2,2.92,4,Uued Uudised,https://uueduudised.ee/uudis/eesti/isamaa-on-hadas-juudas-kiisleriga-kes-ei-austa-erakonna-joont/
