sõnu uudises,esimene isik,negatiivsus,kordaja,positiivsus,väljaanne,link
104,0,1,0.96,0,Delfi,https://www.delfi.ee/news/paevauudised/eesti/puust-punaseks-mis-on-karantiin-ja-mis-on-eneseisolatsioon-kes-on-lahikontaktne?id=90989665
223,0,3,1.35,6,Telegram,https://www.telegram.ee/eesti/loomakaitseorganisatsioonid-kutsuvad-ules-boikoteerima-metsloomadega-tsirkuseid
322,8,12,6.21,12,Telegram,https://www.telegram.ee/eesti/nestor-alampalga-tostmine-on-valtimatu
459,5,5,2.18,13,Delfi,https://www.delfi.ee/news/paevauudised/eesti/eesti-uhineb-koroonavaktsiini-eelostulepinguga-millega-saab-katta-riskiruhmade-vaktsiinivajaduse?id=91697067
611,6,6,1.96,19,Uued Uudised,https://uueduudised.ee/arvamus/lugeja-kirjutab/tohutute-silmamoondustega-kaasaeg-vajab-seadustesse-lisaklauslit-abielu-on-mehe-ja-naise-liit/
97,1,6,7.22,0,Uued Uudised,https://uueduudised.ee/uudis/maailm/pariisi-eeslinnades-puhkesid-piirangute-tottu-kohalike-ja-politsei-kokkuporked/
184,3,0,1.63,5,Delfi,https://www.delfi.ee/news/paevauudised/eesti/linnapea-mihhail-kolvart-esitab-kesklinna-vanema-kandidaadiks-monika-haukanomme?id=90925517
98,3,4,7.14,7,Eesti Päevaleht,https://epl.delfi.ee/uudised/vabatahtlike-loomapaastjate-ja-ekspertide-vahel-laiutab-koostood-takistav-lohe?id=89977387
65,0,0,0.0,0,Eesti Päevaleht,https://epl.delfi.ee/kliima/kuumalained-muutuvad-pea-koikjal-uha-pikemaks-ja-intensiivsemaks?id=90372677
262,10,7,6.49,4,Uued Uudised,https://uueduudised.ee/uudis/eesti/kaja-kallase-varasemad-jutud-sotsiaalmaksust-ei-lahe-kokku-praegustega/
374,5,13,4.81,12,Uued Uudised,https://uueduudised.ee/arvamus/repliik/lumehelbekeste-polvkonna-ennustus-me-muutume-peagi-ahvideks-tagasi/
306,10,2,3.92,4,Delfi,https://www.delfi.ee/news/paevauudised/eesti/ajateenistusest-ei-paase-arstlikud-komisjonid-alustavad-uuest-nadalast-jalle-tood?id=89793167
73,0,0,0.0,4,Delfi,https://www.delfi.ee/news/paevauudised/eesti/reitingud-erakondade-toetusprotsendid-pusivad-stabiilsena?id=90206653
100,0,5,5.0,2,Uued Uudised,https://uueduudised.ee/uudis/eesti/kohus-ei-hakanud-pollumeeste-kaebust-ukrainlaste-kusimuses-arutama/
456,13,6,4.17,13,Uued Uudised,https://uueduudised.ee/uudis/kes-raagib-noukogude-ajast-tudengid-pollule-ei-sobi-lapsed-kliimastreigile-aga-kull/
1054,17,24,3.89,20,Telegram,https://www.telegram.ee/maailm/kollavestide-liikumine-ehk-prantsuse-revolutsioon-2-0
119,1,8,7.56,1,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/jeruusalemmas-noudsid-tuhanded-inimesed-iisraeli-peaministri-netanyahu-tagasiastumist?id=90453925
184,2,9,5.98,2,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/valgevene-prokuratuur-algatas-opositsiooni-esindajate-suhtes-kriminaalmenetluse?id=90793539
344,7,10,4.94,7,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/el-noudis-valgevenelt-koigi-poliitvangide-vabastamist-saksamaa-ja-suurbritannia-noudsid-vastuseid-kalesnikava-kadumise-kohta?id=90976745
280,7,4,3.93,4,Telegram,https://www.telegram.ee/eesti/maksumaksjate-liit-otsib-koduomanikke-kes-on-valmis-maksuameti-vastu-kohtusse-minema
222,2,3,2.25,5,Uued Uudised,https://uueduudised.ee/arvamus/isegi-ajakirjanikud-ise-tunnistavad-et-soltumatust-enam-pole/
426,3,8,2.58,12,Delfi,https://www.delfi.ee/news/paevauudised/eesti/video-ja-fotod-eesti-kaitsevaelased-lasid-esmakordselt-ulimoodsast-katjusast?id=90974541
386,0,8,2.07,9,Telegram,https://www.telegram.ee/eesti/40-saadikut-esitasid-riigikogule-langi-umbusaldusavalduse
584,2,8,1.71,18,Delfi,https://www.delfi.ee/news/paevauudised/eesti/uks-valenegatiivne-koroonaproov-tegi-parnu-hooldekodust-viiruskolde-homme-algab-laustestimine-uuritakse-151-inimest?id=89713221
235,3,6,3.83,6,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/saksamaa-nakkushaiguste-instituut-on-koroonaviiruse-parast-vaga-mures-ja-suudistab-hooletust?id=90575845
110,0,4,3.64,2,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/latis-tuli-juurde-27-soomes-58-koroonaviirusesse-haigestunut?id=89881421
87,0,2,2.3,4,Telegram,https://www.telegram.ee/maailm/blair-laas-peaks-vene-teema-asemel-keskenduma-islamiaarmusluse-ohule
76,0,4,5.26,1,Delfi,https://www.delfi.ee/news/paevauudised/eesti/video-ja-fotod-luise-tanava-ajalooline-koolimaja-on-lammutatud-rusudeks?id=90727043
126,4,5,7.14,3,Maaleht,https://maaleht.delfi.ee/tasubteada/priidu-parna-rail-balticu-trass-neelab-maatukke-uusi-maid-vastu-andmata?id=89763081
141,0,5,3.55,2,Telegram,https://www.telegram.ee/maailm/kerry-usa-ei-vastusta-euroopa-soovi-suuria-opositsiooni-relvastada
418,5,6,2.63,29,Delfi,https://www.delfi.ee/news/paevauudised/eesti/oecd-uuring-eesti-haridussusteem-tagab-koigile-vordsed-voimalused?id=91191627
136,0,2,1.47,1,Uued Uudised,https://uueduudised.ee/uudis/maailm/ungari-naitel-euroopa-komisjon-sekkub-liikmesriikide-siseasjadesse/
436,3,11,3.21,10,Telegram,https://www.telegram.ee/maailm/turgi-parlament-kiitis-heaks-internetti-karmilt-tsenseeriva-seaduseelnou
132,3,0,2.27,3,Telegram,https://www.telegram.ee/teadus-ja-tulevik/tulevikutehnoloogia-ufo-disainiga-veealune-hotell
1383,8,38,3.33,24,Uued Uudised,https://uueduudised.ee/uudis/maailm/islami-invasioon-euroopasse-on-teadlik-allutamine-mida-laane-euroopa-peab-kergeusklikult-migrantide-abistamiseks/
271,2,7,3.32,11,Delfi,https://www.delfi.ee/news/paevauudised/eesti/fotod-suur-paasteoperatsioon-lennusalga-kopteri-abil-leiti-terviserikke-saanud-eakas-mees?id=91474400
149,2,4,4.03,5,Delfi,https://www.delfi.ee/news/paevauudised/eesti/enpa-riigikogu-delegatsioon-toetame-uute-labipaistvate-valimiste-korraldamist-valgevenes?id=90780135
489,9,16,5.11,24,Uued Uudised,https://uueduudised.ee/arvamus/repliik/abistada-liibanoni-jah-pagulasabi-kaudu-ei/
156,2,1,1.92,0,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/utah-korbesse-tekkinud-salaparane-obelisk-kadus-sama-moistatuslikult-kui-ilmus?id=91823141
418,2,14,3.83,11,Delfi,https://www.delfi.ee/news/paevauudised/eesti/delfi-stuudio-sotsiaalminister-tanel-kiik-terviseameti-juhi-ameti-vastu-on-mulle-isiklikult-huvi-ules-naidanud-mitu-inimest?id=90325567
1751,102,42,8.22,72,Telegram,https://www.telegram.ee/vaimsus/telegrami-lugeja-uus-reaalsus-algab-nuud
891,3,20,2.58,30,Delfi,https://www.delfi.ee/news/paevauudised/eesti/riigieelarve-eelnou-labis-riigikogus-esimese-lugemise-opositsiooni-hinnangul-tehakse-lubatust-vahem-investeeringuid?id=91402855
347,4,3,2.02,6,Telegram,https://www.telegram.ee/nwo/sotsi-taliolumpiamangude-sumboolika
180,1,1,1.11,3,Ärileht,https://arileht.delfi.ee/news/uudised/soomes-kusitakse-miks-voib-koroonaajal-ristluslaeval-pidutseda-hommikuni-aga-helsingis-mitte?id=91719639
133,2,2,3.01,4,Telegram,https://www.telegram.ee/maailm/iisrael-kulutab-sadu-miljoneid-dollareid-salajastele-ehitusprojektidele
329,9,3,3.65,6,Delfi,https://www.delfi.ee/news/paevauudised/valismaa/valge-maja-plaanib-oma-koroonaviiruse-toogrupi-laiali-saata?id=89775077
