title,text,subject,date,link
Sotsiaalminister Kiik: uusi piiranguid ei saa kahjuks välistada,"""Vastavalt kokkulepitud korrale vaatame iga kahe nädala tagant üle piirangute kehtivuse. Üldjuhul oleme neid pikendanud, kuid kui näeme, et nakkuse levik on läinud allapoole, siis on osast (piirangutest) võimalik ka loobuda. See sõltub inimeste käitumisest, nakatumise näitajatest lähinädalatel,"" rääkis Kiik, vahendab ERR-i uudisteportaal. ""Seda, et tuleb juurde piiranguid, ei saa kahjuks välistada. Tuleb vaadata nakatumiskordajat, kui palju on uusi koldeid, nakatumise probleeme mõnes piirkonnas, valdkonnas, ja vastavalt sellele reageerida,"" sõnas Kiik. Ministri sõnul on valitsus seadnud sihiks, et seekord Eesti elu kinni ei pandaks. ""Oleme suutnud seda päris hästi, nii inimesed oma käitumisega, vastutustundlikud ettevõtjad, kohalikud omavalitsused, aga loodan, et suudame seda aasta lõpuni."" Kiik ütles, et praegu ei vaadata ümber otsust suunata Tallinna ja Harjumaa gümnasistid distantsõppele. ""Praegu me edasi-tagasi selliseid piiranguid ei muuda,"" kinnitas minister ja lisas, et koolikeskkondades on (Tallinnas ja Harjumaal nakatumine) suhteliselt levinud.",Delfi,1607028290,https://www.delfi.ee/news/paevauudised/eesti/sotsiaalminister-kiik-uusi-piiranguid-ei-saa-kahjuks-valistada?id=91868243
"FOTOD | Sillamäe elanikud ootavad vene vaktsiini tulekut, aga COVID-19 profülaktikaks söövad küüslauku ja pesevad käsi pesuseebiga","Astume ühe mehe juurde, kes seisab pingi juures. Ta on maskis. Mees räägib, et on valmis laskma end koroonaviiruse vastu vaktsineerida. Aga ainult vene toodangu Sputnik V-ga. ""See on kontrollitud. Kaitseminister Šoigu ei teinud seda ilmaasjata. Žirinovski. Presidendi tütar. Seal on teadus. Aga Ameerikas – lugege internetist. Läbi kontrollimata. Lühidalt öeldes toores vaktsiin."" Oma sõnul tal meditsiinilist haridust ei ole, aga ta on insener-keemik, töötas põlevkivikeemiatehases, kuid nüüd on pensionär. Koroonaviiruse testi mees teha ei taha, sest see on tasuline. ""Venemaal on see tasuta,"" toob ta näite. ""Kuid meie teiega elame ju Eestis. Täna oleme siin, homme sõidame sinna ja siis saab teha.""",Delfi,1607025909,https://www.delfi.ee/news/paevauudised/eesti/fotod-sillamae-elanikud-ootavad-vene-vaktsiini-tulekut-aga-covid-19-profulaktikaks-soovad-kuuslauku-ja-pesevad-kasi-pesuseebiga?id=91867857
Maris Jesse: enne märtsi tavainimesed koroonavaktsiini ei saa,"Jesse selgitas ""Ringvaates"", et esmalt saavad vaktsineerimisvõimaluse tervishoiutöötajad ja hoolekandetöötajad, kes haigete ja riskirühma eest hoolitsevad, vahendab ERR. Järgmisena hooldekodude elanikud ja eakad ning kroonilisi haigusi põdevad inimesed, keda on vaja koroonaviiruse eest kaitsta. Ülejäänud inimesed saavad lasta end vaktsineerida viimasena. ""Praegu julgeks öelda, et mitte enne märtsi, aga kevade jooksul,"" sõnas ta. Jesse sõnul sõltub see ka sellest, millal ja millistes kogustes vaktsiinid Eestisse jõuavad. Jesse ütles, et tervishoiutöötajad tuleb vaktsineerida esimeste seas sellepärast, et haiglad tuleksid haigete vastuvõtmisega paremini toime ning poleks vaja karmimaid piiranguid. Kui mõni riik alustab vaktsineerimist juba järgmisel nädalal, siis Euroopa Liidu liikmesriikidel läheb sellega veel aega. ""Euroopa Liit on teinud otsuse, et me ei võta kasutusele vaktsiini, millel pole müügiluba, kogu dokumentatsioon sõltumatute ekspertide poolt läbi töötatud ja konsensus moodustatud. Me ei võta tarvitusele vaktsiini, millel pole patsiendi infolehte, vaktsineerimist läbi viivale professionaalile mõeldud infolehte, nii et me tõesti teame, millega on tegu,"" põhjendas Jesse.",Delfi,1607020018,https://www.delfi.ee/news/paevauudised/eesti/maris-jesse-enne-martsi-tavainimesed-koroonavaktsiini-ei-saa?id=91867623
Vene riigi reetmises kahtlustatav Sergei Lõhmus astub homme Pihkvas kohtu ette,"Petseri linnas elanud Lõhmus peeti kinni mullu augusti keskel. Teda süüdistatakse riigireetmises. Moskva kohus määras ta eeluurimisvanglasse. Väljaanne Pln-Pskov kirjutab, et hetkel viibib mees trellide taga Pihkva linna vanglas. Kohtuistung toimub sealses kohtus homme kell 10. Ajalehe Pskovskaja Gubernija teatel lõpetas Venemaa Föderaalse Julgeolekuteenistuse (FSB) poolt vahistatud Lõhmus 2011. aastal Venemaa Föderaalse Karistuste Täideviimise Teenistuse (FSIN) Pihkva juriidilise instituudi. Enne vahistamist töötas ta kohalikus saeveskis ja tegi aeg-ajalt Peterburis lisatööd turvamehena. Muid üksikasju Lõhmuse kohta ei ole avaldatud. On teada, et Lõhmust süüdistatakse Vene Föderatsiooni kriminaalkoodeksi paragrahvi 275 järgi riigireetmises. Kriminaalmenetluse materjalid on salastatud. Süüdimõistmisel võib teda oodata 12-20 aasta pikkune vanglakaristus. Vene meedia on teinud järelduse, et tema üle mõistetakse kohut kui Venemaa kodaniku üle. Lõhmusel on vend Aleksandr, kes praktiseerib Petseris advokaadina.",Delfi,1607018993,https://www.delfi.ee/news/paevauudised/krimi/vene-riigi-reetmises-kahtlustatav-sergei-lohmus-astub-homme-pihkvas-kohtu-ette?id=91867381
ÜLEVAADE | Pidu pandeemia ajal? Eestis on reeglitele vilistanud nii poliitikud ja kuulsused kui ka tudengid,,Delfi,1607018810,https://www.delfi.ee/news/paevauudised/eesti/ulevaade-pidu-pandeemia-ajal-eestis-on-reeglitele-vilistanud-nii-poliitikud-ja-kuulsused-kui-ka-tudengid?id=91867161
Ida-Virumaa saab seoses koroonapatsientide väljakutsete arvu kasvuga ühe kiirabibrigaadi juurde,"Karell kiirabi teenindab väljakutseid eeskätt Jõhvi ja Kohtla-Järve piirkonnas ning vajadusel abistab Sillamäel. Häirekeskuse Ida regiooni juht Janek Murakase sõnul on sel nädalal COVID-19 patsientide väljakutsete arv võrreldes eelmise nädalaga kasvanud pea kolm korda. ""Ühtlasi on väljakutsete põhjal täheldatav asjaolu, et koroonaviirus on taas vaikselt hooldekodudesse jõudmas. See tähendab, et juba lähiajal võib koroonaviiruse väljakutsete osakaal kasvada veelgi,"" ütles Murakas. Karell Kiirabi Ida piirkonna teenusejuht Ivetta Sakkart-Linnard tõdes, et koroonaviiruse patisentide väljakutsete hoogustumise valguses otsustati päevasesse vahetusse välja panna üks lisakiirabibrigaad. ""Uute võimalike kollete tõttu otsustasime ennetavalt täiendada kiirabi ridasid veel ühe kiirabibrigaadiga, et säilitada hädaabiteenuse kättesaadavus ning ühtlustada kiirabitöötajate koormust,"" lisas Karell Kiirabi Ida piirkonna teenusejuht. Alates homsest hakkab Ida-Virumaal töötama 15 kiirabibrigaadi – 6 Jõhvi ning Kohtla-Järve piirkonnas, 7 Narva ning Sillamäe piirkonnas ning Kiviõlis ja Iisakus kummaski 1 kiirabibrigaad.",Delfi,1607014144,https://www.delfi.ee/news/paevauudised/eesti/ida-virumaa-saab-seoses-koroonapatsientide-valjakutsete-arvu-kasvuga-uhe-kiirabibrigaadi-juurde?id=91866745
Ida-Virumaal kehtestatakse koroonapuhangu tõttu uued ranged piirangud,"Lisaks individuaaltegevustele ei puuduta piirangud professionaalset ja poolprofessionaalset sporti, sealhulgas noorte sporti. Nendes valdkondades peab olema tagatud viiruse leviku ennetamiseks vajalikud meetmed ning et kokku ei tohi puutuda teiste gruppidega. Samuti jäävad lubatuks erivajadustega inimeste huvitegevus ja -haridus. Planeeritavalt hakkavad piirangud kehtima alates laupäevast. Riigikantselei valmistab ette vastava korralduse, mis kiidetakse kava kohaselt heaks homsel e-istungil. Valitsuse kommunikatsioonibüroo teeb sellest täiendava teavituse ning avaldab vastava korralduse ja selle seletuskirja kodulehel kriis.ee Rangemaid piiranguid pooldab Ida-Virumaal nii terviseamet kui valitsust nõustavad teadlased. Samuti toetavad neid kohalike omavalitsuste juhid ja päästeamet, kellega peaminister Jüri Ratas eile konsulteeris. ""Epideemia Ida-Virumaal on suureks mureks meile kõigile, kohapeal on nakatumisnäitaja kaks ja pool korda suurem kui mujal Eestis,"" nentis ta. ""Riik on suunanud regiooni juba täiendavat abi, kuid vaja on ka täiendavaid piiranguid, et koroonaviiruse levik kontrolli alla saada."" Kohalike omavalitsuste ja terviseameti spetsialistide hinnangul on suurimaks murekohaks Ida-Virumaal huviharidus, harrastussport ning võistlused siseruumides, sest just sealt on paljud haiguskolded alguse saanud. Peaminister Jüri Ratas sõidab homme välkvisiidile Narva, Sillamäele, Jõhvi ja Kohtla-Järvele, et kohapeal olukorraga tutvuda ning arutada, kuidas toetada kohalikke kogukondi koroonaviiruse vastases võitluses.",Delfi,1607011056,https://www.delfi.ee/news/paevauudised/eesti/ida-virumaal-kehtestatakse-koroonapuhangu-tottu-uued-ranged-piirangud?id=91865899
Haiglas on rekordarv koroonahaigeid. Kui palju meditsiinitöötajaid nende eest hoolitseb?,"Terviseameti andmetel on täna haiglas 218 koroonahaiget, mis on senine rekord. Nendest vajab intensiivravi 24 patsienti, kellest 12 on juhitaval hingamisel. Terviseameti meditsiinistaabi juht Ahti Varblane selgitas, kui palju tervishoiutöötajaid koroonahaigete eest hoolitseb. ""Haigekassa arvestuse kohaselt on tavapalatis 15 voodi kohta üks arst, kuue voodi kohta üks õde ja 10 voodi kohta üks hooldaja. Intensiivravis üks arst 6-8 patsiendi kohta, üks õde kahe patsiendi kohta ja üks hooldaja nelja haige kohta,"" ütles Varblane. Seega hoolitseb täna tavapalatis viibiva 194 koroonahaige eest 13 arsti, 32 õde ja 19 hooldajat. Intensiivravi patsientidega, keda on 24, tegeleb kolm arsti, 12 õde ja kuus hooldajat. Varblane märkis, et haigekassa arvestus on arvutuslik ja võib raviasutustes erineda sõltuvalt nende eripäradest, nagu väiksemad palatid või suurem hajututatus. Haiglad vajavad lisajõude Kuivõrd koroonaviirusesse haigestub üha rohkem inimesi, siis kasvab ka surve haiglatele. Kuigi ruumi veel on, siis ähvardab mure personalipuuduse pärast. Terviseameti peadirektori asetäitja tervisekaitse alal Mari-Anne Härma ütles eilsel pressikonverentsil, et haiglatesse otsitakse appi 50 tervishoiutöötajat, sest üle saja meditsiinitöötaja on koroonaviirusesse haigestunud. Härma tõi välja, et kui nakatumine ei pidurdu, siis võib ka erakorraline meditsiin sattuda sellise surve alla, et vajalik abi ei saabu piisavalt kiiresti. Viimase ööpäeva jooksul analüüsiti Eestis 5402 koroonaviiruse testi, millest esmaseid positiivseid proove oli 451 ehk 8% testide koguarvust.",Delfi,1607006672,https://www.delfi.ee/news/paevauudised/eesti/haiglas-on-rekordarv-koroonahaigeid-kui-palju-meditsiinitootajaid-nende-eest-hoolitseb?id=91862859
ERISAADE | Mihhail Kõlvart koroonakriisist: valitsuse praegune lähenemine pole jätkusuutlik. Tuleks olla valmis ka hullemaks stsenaariumiks,"Sügise hakul oli Tallinn omamoodi teerajaja koroonaviiruse teise lainega võitlemises. Kehtestati mõningad piirangud, mis pälvisid ka kriitikat. Toona olid koroonanäitajad üpris väikesed, praeguseks on pilt teine. ""Ilmselt peaksime tunnistama, et suvel, septembris ja oktoobris me elasime illusioonis, et ohtu ei ole. Või et oht läheb kuidagi ise mööda. Esialgu oli illusioon, siis lootus. Sõnumid, mida saime nii teadlastelt kui ka valitsuselt, alati rahustasid meid,"" arutleb Kõlvart. Ta nendib, et see pole iseenesest halb, aga meil tekkis arusaam, et pole põhjust kahelda olukorra stabiilsuses. ""Meie (Tallinna linnavalitsus - toim) püüdsime öelda, et oht on tegelikult olemas, parim viis on ennetada."" Tema jutust koorub, et riiklikud sammud polnud piisavad. ""Tegime Tallinnas palju selleks, et olukorda kontrolli all hoida, aga peale koolivaheaega seda kontrolli ainult Tallinna ressursiga polnud enam võimalik,"" nendib ta. Kõlvarti hinnangul ei läinud kevadise aja õppetunnid valitsusele korda. Ei tegeletud piisavalt ennetamise ning teiseks laineks ettevalmistumisega. Riigil puudub laiahaardeline koroonaplaan Kõlvart tõdeb, et mõte riigi lukkupanemisest pole populaarne. Samal ajal teoretiseerib ta, et ehk soodustaks rangemate meetmete kehtestamine seda, et saaks ikkagi jõulude ajaks piirangutest välja tulla. Ta lisab, et mõnedes teistes riikides säärane lähenemine toimib. Kõlvart rõhutab, et lukkupanemise vältimise kõrval peaks riigijuhid olema valmis hullemaks stsenaariumiks. ""Minu arvates on vähe sellest, et ainult reageerime ja enda taktikat ehitame üles lähtuvalt sellest, mis on tänase päeva statistika. Selline lähenemine pole jätkusuutlik,"" viitab ta riigi sammudele. ""Sammud peaks ette programmeerima. Kui olukord läheb halvemaks, siis sellised meetmed. Kui olukord hakkab paranema, siis selline piirangutest välja tulemise plaan. Inimestele tuleks seda kommunikeerida, et oleks arusaam, kus praegu oleme ja mis juhtub siis, kui olukord tõesti hakkab halvenema,"" arutleb Kõlvart. Ta lisab, et eriti valmis peaks olema tervishoiusüsteemi toimetuleku tagamise probleemideks. Mis Tallinna puutub, siis riigis eriolukorra kehtestamise puhul rakenduks ""punane stsenaarium"". Maakeeli öeldes on see tegevusplaan. ""Igal linnaasutusel on selge arusaam, et kui nupp vajutatud (eriolukord kehtestatud - toim), mida tuleb teha, mis on igapäevane töökorraldus."" Koroonameetmetest mõjutab praegust argielu maskikandmise kohustus. Kõlvarti meelest võinuks kohustus tulla juba varem - soovitus või range soovitus pole arusaadav signaal. ""Samas ma ei arva, et inimesi tuleb trahvida, aga seletustööd on kindlasti vaja. Politsei võiks anda selge signaali. Isegi märkusi inimestele, et tuntaks, et olukord on väga tõsine."" Kõlvart tänab tallinlasi, kes kannavad maske ka tänavapildis. ""Me jätkuvalt loodame, et välistingimustel võimalik jõulumeeleolu hoida, mõnedel väliüritustel osaleda. Väliüritustel maskikandmine peaks olema kohustuslik,"" märgib ta ja lisab, et tegelikult peaks iga inimene ka vabatahtlikult mõistma, et maskikandmine on praeguses situatsioonis vajalik. Üks murelaps praeguses olukorras on ka kooliõppe korraldus. Kõlvart märgib, et olgem ausad, kõige efektiivsem oleks täielik karantiin, ent meie nn pehmete meetmete oludes peaks valdkonniti lähenema proportsionaalset. Ta toob esile, kuidas pole õiglane, et gümnasistid suunati täielikult distantsõppele, kui näiteks põhikooli ja kutsekooli puhul võis kontaktõpe jätkuda. Selle vastu astus ta välja ja vähemasti osaliselt on nüüd ka gümnasistidele antud võimalus koolis kohal käia. ""See on tähtis, gümnasistidel on vaja olla valmis riigieksamiteks ja olümpiaadideks. Alati on ka hariduslikud erivajadused, kus hädavajalik."" Kõlvart: abordiküsimusega tegelegu arstid ja perenõustajad Poliitteemadel on saates juttu palju räägitud katuserahast. Teatavasti paistab selle põhjal, et valitsuse prioriteet on abordivastast võitlust toetada. Näiteks president Kersti Kaljulaid sõnas ETV saates ""Esimene stuudio"", et aborditeema pole Eestis murekoht. ""Ka mina arvan, et sellise küsimusega peaksid tegelema eelkõige arstid ja perenõustajad. Nad saavad hakkama, seda näitab ka statistika. Ma ei näe vajadust, et ühiskond ja poliitikud peaks kuidagi süsteemselt sekkuma. Erinevad MTÜd võivad võtta erinevaid teemasid nii arutamiseks kui tegelemiseks, aga see ei pea olema alati riigi prioriteet."" Samamoodi peab ta kõrvaliseks küsimuseks abielureferendumit, mis teatavasti on EKRE valimisvankri ees. ""Koroonakriis süveneb. Muidugi ma arvan, et paljudel inimestel tekib küsimus - kas päriselt? Kas päriselt nii palju energiat ja emotsioone, sealhulgas konflikte, peaks tekkima selle teema ümber. Kõik ühiskonna ressursid, mis lähevad selle peale. Sealhulgas emotsioonid, mis ka ressurss. Rääkimata sellest, et igasugune konflikti tekitamine kriisi olukorras,"" märgib ta. ""Arstid räägivad päris otse, et meil on tervishoiukriis käes. Mulle tundub, et meil on millega tegeleda sisuliselt ja päriselt. Saates on juttu sellestki, kuidas on olukord vanalinnas ehk kuidas läheb nn äride päästeplaan; miks ikkagi ka Tallinn katuserahast suure tüki saab ning mis teemad kerkivad esile tuleva aasta kohalike valimiste eelsetes poliitdebattides.",Delfi,1607005840,https://www.delfi.ee/news/paevauudised/eesti/erisaade-mihhail-kolvart-koroonakriisist-valitsuse-praegune-lahenemine-pole-jatkusuutlik-tuleks-olla-valmis-ka-hullemaks-stsenaariumiks?id=91863809
Sillamäe linnapea suurest koroonanäitajast: regulatsioon peab olema ühesugune kas kogu riigis või minimaalselt regioonis,"“Erinevatel aegadel on olnud erinevates kohtades kõrged nakatumisnäitajad, täna on Sillamäel nakatunuid 137,” selgitas Kalberg. Et nakatumisnäitaja on kõrge, kohtuvad kohalike omavalitsuste juhid, haiglate ja erinevate teiste avaliku teenistuste esindajad ja valitsusliikmed tihti. “Eile kohtusid Ida-Viru omavalitsusjuhid ka peaministriga, samuti on homme oodata peaministri visiiti Ida-Virumaale,” märkis ta. Lisaks sellele arutavad ja hindavad olukorda linna koroonaviiruse leviku tõkestamisega tegelevad ametnikud iga päev. Sillamäe linn on enda asutustele täiendavaid piiranguid kehtestanud. “Novembris jätsime kõik linna poolt korraldatavad üritused ära. Siiski peame lähtuma valitsuse reeglitest ning eraettevõtete tegevust me reguleerida ei saa,” ütles Kalberg. Samamoodi on piiratud statsionaarõpet. Valitsus kehtestas nii Ida-Virumaa kui Harjumaa koolide gümnaasiumiklassidele distantsõppe. Lisaks on ajutiselt koduõppel need klassid või rühmad, kus Terviseamet on nakatunud või lähikontaktsed lapsed tuvastanud.“ Tegutseme vastavalt terviseameti juhistele,” kinnitas meer. Kalberg tõi välja, et kõrge nakatumisnäitaja taga võib olla ka tõhus testimine. “Kevadel ei tehtud nii palju teste, nüüd tehakse ja seetõttu tuleb rohkem nakatunuid välja,” ütles ta. Kui oktoobris domineerisid Sillamäel töökohakolded, siis praegu nakatutakse enim pereringis ja huvitegevuses. Kas Sillamäe plaanib aga rangemaid piiranguid? “Neid otsuseid peab langetavad valitsus ja terviseamet. Kindlasti ei ole see ainult Sillamäe probleem, regulatsioon peab olema ühesugune kas kogu riigis või minimaalselt regioonis,” rääkis Kalberg. Ta lisas, et kohalik polikliinik on seni töökoormusele vastu pidanud.",Delfi,1607002620,https://www.delfi.ee/news/paevauudised/eesti/sillamae-linnapea-suurest-koroonanaitajast-regulatsioon-peab-olema-uhesugune-kas-kogu-riigis-voi-minimaalselt-regioonis?id=91863543
